zHD MU_SH0ES
2.122499999999999942e-01 3.993739999999999668e+01
2.134999999999999953e-01 4.002179999999999893e+01
2.136500000000000066e-01 4.000840000000000174e+01
2.139800000000000035e-01 3.988739999999999952e+01
2.144000000000000072e-01 4.001789999999999736e+01
2.150700000000000112e-01 3.988250000000000028e+01
2.152100000000000124e-01 4.046410000000000196e+01
2.157799999999999996e-01 4.022529999999999717e+01
2.164999999999999980e-01 3.982529999999999859e+01
2.168899999999999995e-01 4.006719999999999970e+01
2.169200000000000017e-01 4.009320000000000306e+01
2.174200000000000021e-01 4.013949999999999818e+01
2.179399999999999948e-01 3.999419999999999931e+01
2.184500000000000053e-01 4.022160000000000224e+01
2.188100000000000045e-01 4.014159999999999684e+01
2.189699999999999980e-01 4.019250000000000256e+01
2.189800000000000080e-01 4.012919999999999732e+01
